Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testuit1,Chrome 67.0.3396.99,,2018-07-25 10:58:01,2018-07-25 10:58:36,35.363s,PASSED
,,,,,,
Test Cases/Day2/test2,Chrome 67.0.3396.99,,2018-07-25 10:58:01,2018-07-25 10:58:36,35.030s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 10:58:02,2018-07-25 10:58:25,23.834s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 10:58:25,2018-07-25 10:58:31,5.778s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 10:58:31,2018-07-25 10:58:31,0.118s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 10:58:31,2018-07-25 10:58:31,0.105s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 10:58:31,2018-07-25 10:58:32,0.095s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 10:58:32,2018-07-25 10:58:36,4.171s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-25 10:58:36,2018-07-25 10:58:36,0.620s,PASSED
