Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orange,Chrome 67.0.3396.99,,2018-07-24 16:18:07,2018-07-24 16:19:24,1m - 17.251s,FAILED
,,,,,,
Test Cases/Login1/login,Chrome 67.0.3396.99,,2018-07-24 16:18:07,2018-07-24 16:18:39,31.039s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 16:18:08,2018-07-24 16:18:32,23.777s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 16:18:32,2018-07-24 16:18:36,4.443s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 16:18:36,2018-07-24 16:18:36,0.138s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 16:18:36,2018-07-24 16:18:36,0.094s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:18:36,2018-07-24 16:18:39,2.271s,PASSED
,,,,,,
Test Cases/ValidateLinks/validateLinks,Chrome 67.0.3396.99,,2018-07-24 16:18:39,2018-07-24 16:19:00,21.380s,FAILED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 16:18:39,2018-07-24 16:19:00,21.212s,FAILED
,,,,,,
Test Cases/Role Change/change Role,Chrome 67.0.3396.99,,2018-07-24 16:19:00,2018-07-24 16:19:24,23.843s,FAILED
click,Chrome 67.0.3396.99,,2018-07-24 16:19:00,2018-07-24 16:19:02,2.240s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:19:02,2018-07-24 16:19:03,0.584s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:19:03,2018-07-24 16:19:24,20.856s,FAILED
