Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuit1,Chrome 67.0.3396.99,,2018-07-24 17:51:18,2018-07-24 17:52:57,1m - 39.706s,FAILED
,,,,,,
Test Cases/login/test1,Chrome 67.0.3396.99,abcd,2018-07-24 17:51:18,2018-07-24 17:52:05,46.854s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:51:18,2018-07-24 17:51:42,23.894s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:51:42,2018-07-24 17:51:44,1.402s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:51:44,2018-07-24 17:52:05,21.150s,FAILED
,,,,,,
Test Cases/login/test2,Chrome 67.0.3396.99,,2018-07-24 17:52:05,2018-07-24 17:52:57,51.841s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:52:05,2018-07-24 17:52:29,23.757s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:52:29,2018-07-24 17:52:30,0.900s,PASSED
verifyTextPresent,Chrome 67.0.3396.99,,2018-07-24 17:52:30,2018-07-24 17:52:30,0.088s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:52:30,2018-07-24 17:52:31,0.894s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:52:31,2018-07-24 17:52:31,0.126s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:52:31,2018-07-24 17:52:31,0.113s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:52:31,2018-07-24 17:52:32,1.142s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 17:52:32,2018-07-24 17:52:33,0.648s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:52:33,2018-07-24 17:52:56,23.667s,PASSED
refresh,Chrome 67.0.3396.99,,2018-07-24 17:52:56,2018-07-24 17:52:57,0.339s,PASSED
